name,latitude,longitude
Farmacia Normal,-27.586236,-48.524782
Big Iguatemi,-27.590762,-48.514423
Angeloni Santa Monica,-27.591523,-48.513350
Mercado Carvoeira,-27.603104,-48.527389
Millium,-27.587016,-48.502622
Shopping via Lagoa,-27.604929,-48.466272
O Açougueiro,-27.601592,-48.472114
Lagoa Yatch Club,-27.608599,-48.476808
Pizza na Pedra,-27.606679,-48.466895
Supermercado Imperatriz,-27.600641,-48.502278
Bakery Manu,-27.596591,-48.535237
Bistek Supermercados,-27.622098,-48.525710
Ilha Sul Supermercados,-27.612383,-48.527942
Armazém Vieira,-27.613543,-48.526826
Francestar Panificadora,-27.606755,-48.546824
Dibi Mussi Pizzaria,-27.592835,-48.550419
McDonald's,-27.578286,-48.543241
Restaurante Aladim,-27.585646,-48.534883
De Boa Lanchonete,-27.593781,-48.571630
Worlds Games,-27.596624,-48.552972
Vila do Divino,-27.596591,-48.570457
Angeloni Capoeiras,-27.600984,-48.596585
Ok Supermercados,-27.596534,-48.593731
Parma Pizzaria Capoeiras,-27.595440,-48.593506
Padaria Padre Roma,-27.588033,-48.597175